Country,Value
Home Load Application and Servicing,71
Payment Journals,58
CommBiz,43
Commerical Loans,37
Account Overdraft,33
Account Enq/Edit/Mauntenance & Closure,29
Term Deposit Create and Maintain,25
Online Security,25
Credit Cards,25
Product Journals,22
Loan Maintenance & Protection,22
Exception Queue & Indexing,22
Documents,17
Netbank,14
Personal Loans,14
CustomerCRM,13
Packages,12
Account Auth and MOO,12
Customer Hardship,11
Stops and Holds,11
Collateral Management,11
PayID,11
Risk Enquiry & Maintaince,11
Others,124
